date,market_1,market_2,market_3,market_4,market_5,market_6,market_7,market_8
2017-02-08,2.174998911897031,3.2910889505518175,2.3503691296572016,4.19508981725503,3.7180031160649065,3.7362719249941487,3.0768466701884556,4.570181359522971
2017-02-09,2.1685003940662493,3.2879691582801476,2.3604141392939115,4.182296753873533,3.7068764004336536,3.743379732945888,3.0690821275689038,4.572080563021171
2017-02-10,2.1800604291206214,3.298034722664248,2.3680395740927427,4.180308287560508,3.7205415948124676,3.7611474912632032,3.0746568751579177,4.586184253527645
2017-02-11,2.1892386478584096,3.3126001981167663,2.3697250401079155,4.192330103932845,3.739402995961293,3.771403525310662,3.0810250299215545,4.599872634441147
2017-02-12,2.208487853892893,3.337206200578887,2.3720217099271146,4.205095726113557,3.762664893506184,3.7865990255044366,3.0844092553382043,4.6134113687602865
2017-02-13,2.2529281008249376,3.364465004665328,2.3954813542186475,4.225963050435891,3.796356252603726,3.8102730282596777,3.0970901028006605,4.627063189216297
2017-02-14,2.26864134166413,3.3769521373966658,2.4034127428638214,4.245245272049403,3.8106643076766433,3.8043131522924964,3.108856863322355,4.627503937067232
2017-02-15,2.264094298347449,3.376278679952014,2.395104401151749,4.235092730801,3.81845418273892,3.7743639693729554,3.094582521496176,4.608176267370386
2017-02-16,2.2640931783728315,3.3730665832895412,2.389895788479923,4.2221542946462485,3.8273617789186103,3.755488152846907,3.0849672934457804,4.594249055637131
2017-02-17,2.2657234425858555,3.3762954913300063,2.3873437158157222,4.21801027201342,3.834900392739929,3.7564472584416735,3.0865891378369774,4.59286522213684
2017-02-18,2.2670653185879877,3.382625340677137,2.396744883169546,4.212871051157458,3.8571499530300466,3.764974742560179,3.09327620316157,4.597470317655274
2017-02-19,2.2523827889170853,3.389332982553598,2.4059085919900323,4.20010916063369,3.871927000288454,3.775413229722217,3.0882988977928454,4.592049939962366
2017-02-20,2.258345557246176,3.4059908068410603,2.4125448046228226,4.209834248778274,3.8986765505621617,3.7846485526057014,3.087772471311468,4.60844919443945
2017-02-21,2.238857071565162,3.410825261549204,2.4202577590130723,4.205470659644963,3.913996535819225,3.792744903854337,3.089432117939797,4.610650823039196
2017-02-22,2.213057310729631,3.3862132379349656,2.4061522880372466,4.196862381927742,3.902123102335517,3.7778887816298456,3.0915465437873304,4.6020337522332655
